Life_Expectancy,Mean_Years_Schooling,Expected_Years_Schooling,GNI_per_Capita,HDI_Score,HDI_Category
63.15,12.59,17.5,6649.66,0.725,High
68.82,9.52,16.44,3028.94,0.6691,Medium
85.0,9.61,15.02,6634.91,0.7761,High
49.33,11.22,16.8,12955.75,0.6531,Medium
74.86,6.91,11.07,9462.64,0.6782,Medium
51.87,5.48,12.3,11878.69,0.5704,Medium
63.28,4.87,9.69,5063.86,0.5542,Medium
78.89,2.1,4.38,31943.31,0.5328,Low
68.64,14.17,20.0,3052.84,0.7284,High
57.22,4.69,10.09,16115.88,0.5768,Medium
60.85,7.34,10.45,32269.93,0.6644,Medium
74.8,7.17,10.21,16009.03,0.6964,Medium
60.7,8.92,13.52,8082.66,0.6538,Medium
70.16,10.45,15.37,5835.43,0.7163,High
68.46,10.58,14.98,27891.79,0.787,High
61.48,6.25,10.87,2385.17,0.5384,Low
85.0,7.5,14.9,3751.37,0.7136,High
74.34,8.85,14.99,6650.47,0.7224,High
47.75,7.25,11.64,34120.5,0.5967,Medium
69.86,12.82,18.7,14469.06,0.8173,Very High
61.38,9.47,11.41,3759.17,0.6043,Medium
76.52,10.2,15.0,7256.79,0.7524,High
60.07,9.99,17.61,5354.42,0.6729,Medium
66.85,11.52,15.08,4866.89,0.6977,Medium
73.05,8.54,10.85,26341.2,0.7385,High
76.66,4.11,6.81,2510.55,0.5172,Low
56.0,9.2,11.02,49453.14,0.6826,Medium
64.65,6.05,8.48,22657.13,0.6265,Medium
63.25,6.41,9.67,29462.15,0.6509,Medium
61.47,9.76,10.95,6229.56,0.6305,Medium
85.0,11.71,15.75,8519.04,0.8222,Very High
72.05,8.06,13.87,2361.02,0.6301,Medium
55.39,8.93,11.11,5856.68,0.5876,Medium
77.18,13.11,20.0,16214.4,0.8755,Very High
85.0,8.72,13.74,36172.81,0.8427,Very High
78.32,15.0,20.0,3270.97,0.779,High
52.81,9.7,12.38,6867.08,0.5992,Medium
63.16,2.72,8.43,8507.48,0.525,Low
80.67,10.26,12.08,2450.9,0.6735,Medium
60.92,9.14,14.92,17878.41,0.7079,High
72.44,11.87,16.21,4798.26,0.7362,High
75.75,10.02,15.13,8140.52,0.7547,High
58.73,7.58,9.23,6298.4,0.5748,Medium
67.4,4.33,6.54,4494.73,0.515,Low
40.0,7.37,12.57,9827.65,0.5024,Low
57.76,5.45,7.55,7977.58,0.5318,Low
65.47,6.26,11.18,6823.6,0.6142,Medium
55.52,9.77,11.03,4776.86,0.5865,Medium
84.32,13.01,18.71,13623.13,0.888,Very High
53.7,9.18,10.72,51720.9,0.6661,Medium
63.6,4.41,9.52,11383.12,0.5822,Medium
69.31,9.33,14.59,26798.96,0.7713,High
82.41,11.59,14.2,2464.58,0.7133,High
53.64,6.17,11.33,11588.42,0.5783,Medium
79.63,7.6,12.12,3303.15,0.6588,Medium
68.1,8.04,10.97,2259.9,0.5844,Medium
58.18,5.65,7.63,4725.03,0.5154,Low
72.62,9.94,10.02,32594.52,0.7557,High
69.99,7.64,12.34,25591.51,0.7273,High
62.0,9.26,10.13,12619.58,0.6531,Medium
68.7,5.34,9.53,2137.3,0.5353,Low
64.15,6.69,10.16,8133.28,0.6109,Medium
69.14,10.17,15.53,13382.46,0.7551,High
74.62,6.88,10.28,11796.24,0.6781,Medium
83.86,13.18,16.52,1565.88,0.7158,High
55.62,6.8,12.26,4063.02,0.5583,Medium
85.0,8.67,13.34,9282.83,0.7672,High
48.48,10.8,15.43,16920.66,0.6446,Medium
66.48,3.74,8.68,1100.89,0.456,Low
73.88,2.72,3.65,8415.88,0.474,Low
70.81,3.42,8.94,11419.17,0.5874,Medium
61.77,11.79,17.01,23146.8,0.7705,High
65.92,6.34,8.31,19788.53,0.6296,Medium
63.07,15.0,18.51,17722.16,0.8032,Very High
62.11,6.31,10.23,4447.33,0.5683,Medium
76.5,8.55,12.28,1468.5,0.6046,Medium
71.57,12.63,17.29,6680.49,0.7685,High
61.07,14.02,20.0,26947.12,0.8114,Very High
77.0,14.18,20.0,39872.99,0.9257,Very High
71.07,11.63,13.0,20141.73,0.7783,High
76.13,11.07,16.32,15204.41,0.8138,Very High
74.3,9.78,16.44,14467.21,0.789,High
59.71,10.34,15.11,5675.31,0.6579,Medium
62.4,6.35,12.53,8690.1,0.6267,Medium
75.47,5.55,13.57,52526.31,0.7684,High
74.1,7.99,14.04,3856.22,0.6704,Medium
67.79,7.49,11.99,49750.65,0.7379,High
69.17,6.64,12.73,7172.23,0.6548,Medium
80.78,10.09,14.38,37250.93,0.8505,Very High
62.08,10.87,14.91,2424.03,0.6233,Medium
73.47,8.27,11.56,17781.33,0.7269,High
65.98,12.43,19.56,4737.33,0.7336,High
65.82,4.57,6.94,2403.62,0.4889,Low
78.99,7.42,14.48,12314.52,0.754,High
76.25,5.85,10.85,27159.22,0.7138,High
76.14,2.4,3.6,4251.63,0.4449,Low
81.05,7.75,12.49,2210.52,0.643,Medium
68.21,7.63,7.43,9028.62,0.615,Medium
74.82,12.54,17.79,9068.52,0.8061,Very High
64.9,9.89,15.66,17125.43,0.7432,High
71.24,4.93,7.74,25580.73,0.6303,Medium
66.7,13.56,17.81,9326.22,0.7753,High
68.97,11.66,19.57,63291.31,0.8813,Very High
73.95,9.75,12.73,12384.92,0.7429,High
59.82,7.32,9.2,6999.36,0.5813,Medium
85.0,5.12,12.09,1975.22,0.6111,Medium
57.94,6.88,14.81,7610.93,0.6255,Medium
55.86,11.27,15.27,7069.98,0.6572,Medium
79.58,13.65,19.68,25856.18,0.9162,Very High
75.92,12.63,19.31,15716.77,0.8569,Very High
74.24,6.53,9.05,3043.1,0.5867,Medium
74.28,4.64,7.67,11757.59,0.6047,Medium
67.88,8.42,14.88,19370.98,0.7409,High
59.03,2.69,10.06,45616.8,0.5898,Medium
68.76,8.97,14.1,24040.71,0.7542,High
61.23,7.56,9.8,21180.72,0.6455,Medium
77.75,6.6,14.58,10510.04,0.7309,High
66.53,3.22,6.15,14593.22,0.5312,Low
59.75,9.54,12.87,34527.28,0.7144,High
64.79,6.4,11.09,2610.31,0.5615,Medium
72.13,4.49,11.6,6978.3,0.6238,Medium
62.36,0.0,5.71,4570.74,0.3908,Low
59.78,7.92,12.75,14460.17,0.6574,Medium
70.44,13.32,18.24,33867.87,0.8658,Very High
70.45,12.98,17.07,5448.12,0.7519,High
62.93,6.63,11.74,906.59,0.4937,Low
63.29,6.19,5.13,6553.66,0.5276,Low
70.32,9.41,12.81,24673.22,0.7555,High
53.52,5.0,9.49,16943.34,0.5562,Medium
53.93,8.91,10.6,15186.87,0.6164,Medium
60.82,10.3,15.07,7480.14,0.6781,Medium
65.87,11.68,15.27,2754.44,0.66,Medium
71.11,7.7,15.21,16569.09,0.7442,High
82.75,7.39,14.54,4297.2,0.7091,High
76.58,5.37,8.43,87912.45,0.7111,High
66.4,5.52,9.22,17509.65,0.6258,Medium
67.81,7.32,11.17,5537.8,0.6276,Medium
57.97,9.1,12.2,5370.17,0.6089,Medium
67.81,10.74,15.13,9018.7,0.7302,High
65.11,5.59,8.07,7789.24,0.5724,Medium
71.23,12.48,14.22,30237.37,0.82,Very High
59.73,7.19,12.43,11925.28,0.6368,Medium
73.19,7.94,13.19,4761.74,0.6704,Medium
83.33,5.76,8.15,65541.62,0.7364,High
66.91,0.73,6.52,10397.37,0.4702,Low
72.02,10.65,13.39,21350.7,0.7783,High
74.9,10.21,14.72,5387.16,0.725,High
63.99,7.16,12.8,14230.11,0.6702,Medium
70.24,8.2,12.13,13508.98,0.7045,High
68.13,9.55,14.46,1495.7,0.6017,Medium
68.98,3.31,6.28,74256.09,0.5984,Medium
60.27,6.41,10.02,35977.34,0.6472,Medium
68.25,10.38,13.97,6652.88,0.7017,High
72.98,4.24,6.74,3287.0,0.5208,Low
82.51,8.88,12.53,14010.49,0.7733,High
77.59,3.93,4.83,10793.48,0.5498,Low
85.0,9.4,12.42,14124.54,0.7896,High
60.33,7.89,11.32,11986.99,0.6375,Medium
76.72,3.15,6.64,16419.76,0.5797,Medium
69.83,11.49,15.01,42079.07,0.8242,Very High
85.0,5.8,9.67,17467.6,0.7115,High
59.92,5.57,10.53,3464.57,0.5397,Low
59.6,8.6,14.35,38660.08,0.7216,High
62.01,11.45,14.15,51052.74,0.7783,High
46.76,4.95,6.55,90000.0,0.5227,Low
62.74,8.19,10.1,3217.97,0.5757,Medium
60.41,9.29,12.31,12618.03,0.6664,Medium
69.5,10.08,13.38,1233.86,0.5892,Medium
71.42,8.53,10.99,17208.34,0.7131,High
85.0,6.9,8.31,5720.43,0.6555,Medium
77.5,5.52,8.6,67740.93,0.7169,High
62.23,8.26,12.62,4561.4,0.6168,Medium
59.02,4.78,9.97,1827.71,0.4863,Low
72.92,0.0,2.89,6177.92,0.3438,Low
54.8,9.31,12.48,1372.67,0.5182,Low
85.0,10.71,12.86,20975.27,0.8324,Very High
79.79,0.91,4.85,1255.03,0.3871,Low
63.31,4.97,7.27,10182.82,0.5552,Medium
50.87,9.86,15.0,1239.16,0.5125,Low
81.54,14.17,14.6,7184.65,0.8127,Very High
66.85,8.06,11.34,51194.03,0.7347,High
80.38,5.82,10.42,14195.04,0.6952,Medium
52.06,7.45,11.82,4173.48,0.5432,Low
62.01,12.12,20.0,9593.07,0.7533,High
68.05,6.06,10.76,10077.06,0.6367,Medium
68.47,5.6,7.59,15877.06,0.61,Medium
63.5,6.55,10.36,2522.84,0.5487,Low
74.23,5.14,5.59,17900.2,0.5977,Medium
57.32,8.37,12.21,662.23,0.4662,Low
66.58,12.87,15.21,5271.74,0.715,High
69.2,8.97,14.8,6073.72,0.6934,Medium
73.14,7.24,10.14,18644.88,0.6965,Medium
75.12,7.12,10.89,10123.66,0.6836,Medium
56.75,3.31,6.04,2427.06,0.4231,Low
52.66,10.65,18.13,3696.0,0.6173,Medium
80.78,7.77,11.12,12072.43,0.7272,High
71.32,7.46,15.12,9144.73,0.7115,High
60.52,15.0,20.0,5546.24,0.7231,High
83.51,8.9,13.86,6119.07,0.7452,High
69.16,5.74,10.48,19854.14,0.6632,Medium
79.79,6.72,11.51,5897.64,0.6754,Medium
68.68,11.45,11.59,9062.58,0.7105,High
85.0,8.34,11.78,86676.37,0.8459,Very High
85.0,3.69,9.38,2383.48,0.5684,Medium
65.51,10.76,14.66,1553.33,0.6057,Medium
77.72,6.0,7.19,21667.95,0.6605,Medium
74.45,13.62,17.52,5020.86,0.7753,High
81.69,11.24,18.65,7199.47,0.818,Very High
58.35,6.66,13.15,4531.66,0.5844,Medium
74.86,11.84,15.72,7632.72,0.7717,High
78.58,8.2,14.11,48949.19,0.8247,Very High
50.41,10.56,13.83,22073.4,0.6548,Medium
56.17,9.45,10.05,23440.57,0.6484,Medium
47.61,5.46,7.61,2401.32,0.4313,Low
65.31,6.07,13.2,3130.18,0.5908,Medium
75.18,11.09,14.54,578.78,0.5584,Medium
83.02,7.0,10.51,4405.54,0.6628,Medium
68.74,6.79,10.19,25763.22,0.6842,Medium
84.29,5.13,12.94,16596.49,0.74,High
54.2,9.27,16.52,7930.62,0.6439,Medium
50.97,14.19,20.0,9678.86,0.6904,Medium
67.44,4.8,8.48,4969.7,0.5543,Medium
71.84,8.07,12.66,12146.05,0.7107,High
67.67,12.24,13.2,21287.56,0.772,High
47.33,7.76,14.71,1966.7,0.5017,Low
67.11,9.36,11.02,13355.02,0.6919,Medium
54.96,4.81,9.25,25145.52,0.5722,Medium
74.7,9.28,11.09,6534.82,0.6897,Medium
71.67,7.44,10.26,19944.34,0.6972,Medium
58.6,10.96,13.28,90000.0,0.7583,High
62.86,11.56,14.35,8916.49,0.7052,High
57.41,15.0,17.92,14666.29,0.7564,High
67.37,9.74,12.64,4731.24,0.6596,Medium
77.55,8.98,14.64,11863.85,0.7669,High
58.14,8.58,10.37,15682.04,0.636,Medium
73.04,6.94,11.38,12026.19,0.6863,Medium
62.7,9.02,15.45,3569.94,0.6373,Medium
60.07,7.11,10.09,12165.53,0.6138,Medium
66.93,8.51,11.07,42710.32,0.7309,High
57.65,11.95,15.49,15500.63,0.7151,High
62.46,4.98,11.34,25899.71,0.6413,Medium
56.02,11.42,15.81,7808.66,0.6687,Medium
85.0,11.95,14.89,20950.13,0.8687,Very High
68.35,7.65,12.61,13085.6,0.6921,Medium
61.0,1.63,3.43,3824.14,0.3732,Low
70.14,6.18,11.54,13609.47,0.6705,Medium
66.88,11.89,16.71,3671.31,0.6964,Medium
65.79,7.93,11.32,5255.97,0.6249,Medium
74.14,5.0,7.32,11960.06,0.6063,Medium
75.58,6.49,8.71,13322.96,0.6615,Medium
62.69,10.52,15.59,3013.23,0.6422,Medium
62.24,9.64,16.1,28395.49,0.7525,High
65.25,7.28,10.01,17535.91,0.6565,Medium
44.98,6.9,11.82,4891.58,0.5014,Low
52.85,6.82,6.65,2126.89,0.4582,Low
81.67,5.23,8.06,8562.05,0.6334,Medium
84.45,12.85,16.78,6336.34,0.8222,Very High
65.51,7.03,9.21,11082.7,0.625,Medium
73.77,11.65,13.78,6883.51,0.7415,High
71.11,12.56,15.23,1329.48,0.6372,Medium
85.0,10.99,15.58,6712.01,0.7978,High
79.2,6.71,10.33,7290.89,0.6703,Medium
66.72,9.21,8.73,18651.11,0.6783,Medium
58.44,7.93,7.69,4923.62,0.5499,Low
51.94,5.29,8.08,53033.27,0.5714,Medium
70.03,8.97,13.89,1463.17,0.5978,Medium
60.44,4.46,2.97,36723.33,0.5044,Low
53.78,11.56,14.56,7908.4,0.6471,Medium
61.53,6.61,9.55,23378.8,0.6347,Medium
57.18,8.6,15.38,10719.3,0.6607,Medium
84.87,8.85,12.08,30932.28,0.8169,Very High
76.82,7.22,11.99,6718.62,0.6831,Medium
67.92,9.76,14.04,3299.02,0.6531,Medium
82.8,6.58,6.31,40966.27,0.7023,High
68.77,10.61,16.15,8835.38,0.7414,High
59.39,3.96,8.39,12351.82,0.544,Low
83.23,8.38,13.4,34021.63,0.8233,Very High
73.39,13.82,20.0,3526.44,0.7618,High
57.63,5.0,4.83,17952.61,0.5149,Low
66.1,5.97,13.42,5486.83,0.6259,Medium
59.24,9.54,12.97,8671.79,0.6511,Medium
54.17,8.54,13.11,10638.97,0.6219,Medium
77.26,9.05,12.96,2207.86,0.6483,Medium
85.0,9.47,12.62,4542.18,0.7268,High
54.01,9.9,12.76,38218.42,0.6853,Medium
73.63,11.33,15.99,24009.17,0.8249,Very High
61.49,9.23,10.2,9296.19,0.6368,Medium
63.13,7.28,12.78,12621.08,0.6617,Medium
62.08,10.02,13.19,7374.31,0.6653,Medium
59.36,13.7,15.44,38429.6,0.7841,High
68.49,7.6,10.7,8100.23,0.6485,Medium
59.69,5.08,11.59,12479.49,0.6025,Medium
70.7,11.32,14.25,31133.2,0.8057,Very High
67.5,7.64,12.36,4548.84,0.6316,Medium
65.61,1.48,4.02,47041.67,0.4719,Low
58.92,10.54,16.06,2142.09,0.6046,Medium
62.23,6.39,11.77,50495.63,0.6909,Medium
75.55,7.73,15.43,6818.02,0.7205,High
73.01,9.0,12.64,7764.38,0.7041,High
58.22,8.57,13.91,1495.16,0.5446,Low
68.99,10.13,14.32,6280.5,0.7025,High
75.51,6.69,13.29,3498.86,0.6476,Medium
51.31,9.54,12.1,5390.29,0.5746,Medium
73.43,7.22,12.71,8627.32,0.6901,Medium
61.37,10.22,13.83,25791.28,0.7287,High
73.71,9.85,13.72,12180.64,0.7519,High
60.37,5.19,9.38,13462.68,0.5842,Medium
49.95,11.26,15.76,3309.26,0.5829,Medium
51.72,6.39,10.16,4102.07,0.5138,Low
68.48,10.42,14.85,59797.85,0.8181,Very High
70.6,9.1,16.26,4744.77,0.6998,Medium
58.96,13.51,19.49,51855.08,0.8249,Very High
74.39,7.33,13.07,7761.56,0.6938,Medium
51.38,6.95,10.04,9919.8,0.5553,Medium
67.34,7.94,10.16,28864.43,0.6986,Medium
55.89,7.09,13.0,35308.97,0.6637,Medium
61.48,10.4,16.15,8858.98,0.7005,High
68.47,3.15,10.1,6712.7,0.5674,Medium
59.4,4.84,7.63,9358.87,0.5373,Low
64.15,4.8,8.34,13876.58,0.583,Medium
78.06,10.85,11.57,24132.23,0.7967,High
62.23,13.13,16.35,9939.08,0.7384,High
76.36,7.69,13.68,18377.57,0.7574,High
56.7,7.49,10.56,50937.76,0.661,Medium
73.3,8.21,13.49,14491.38,0.7366,High
82.42,11.49,15.1,13516.32,0.8297,Very High
43.28,5.22,9.87,2166.98,0.4209,Low
60.03,8.72,10.42,712.85,0.4732,Low
73.77,10.93,15.1,14594.15,0.7872,High
65.97,9.5,7.52,9001.76,0.6322,Medium
71.71,8.57,12.19,5914.83,0.674,Medium
61.96,11.0,11.74,12626.21,0.6889,Medium
